component_id_start,component_id_end,link
scenario-analysis-modal-compare-planning.component,inventory-planning-table.component,@ViewChild('table')
scenario-analysis-modal-compare-planning.component,inventory-planning-table.component,html
scenario-analysis-modal-compare-planning.component,inventory-planning.component,html
scenario-analysis-modal-compare-planning.component,inventory.component,html
scenario-analysis-modal-total-forecast.component,forecast-table.component,@ViewChild('table') table: ForecastTableComponent;)
scenario-analysis-modal-total-forecast.component,forecast-table.component,html
scenario-analysis-modal-impacted-procurement.component,collapse-table.component,@ViewChild('table')
scenario-analysis-modal-impacted-procurement.component,collapse-table.component,html
scenario-analysis-modal-total-manufacturing.component,manufacturing-order-table.component,@ViewChild('table') table: ManufacturingOrderTableComponent;)
scenario-analysis-modal-total-manufacturing.component,manufacturing-order-table.component,html
scenario-analysis-modal-total-manufacturing.component,manufacturing-order.component,html
scenario-analysis-modal-total-demand.component,sales-order-table.component,@ViewChild('table') table: SalesOrderTableComponent;)
scenario-analysis-modal-total-demand.component,sales-order-table.component,html
scenario-analysis-modal-total-demand.component,sales-order.component,html
scenario-analysis-modal-compare-heatmap.component,tags-input.component,@ViewChild('tagsComponent')
scenario-analysis-modal-compare-heatmap.component,tags-input.component,html
scenario-analysis-modal-compare-heatmap.component,dashboard-heatmap-items-modal.component,onClickCell(event: string)
scenario-analysis-modal-compare-heatmap.component,dashboard-heatmap-items-modal.component,onClickScenarioCell(event: string)
scenario-analysis-modal-compare-heatmap.component,calendar-heatmap.component,html
scenario-analysis-modal-compare-heatmap.component,calendar-heatmap.component,html
warehouse-master.component,warehouse-master-table.component,@ViewChild('table') table: WarehouseMasterTableComponent;)
warehouse-master.component,warehouse-master-table.component,html
warehouse-master.component,abstract-job.component,extends
warehouse-master.component,warehouse-master-modal-new.component,onShowModalNew()
warehouse-master.component,warehouse-master-modal-new.component,onShowModalEdit(index: number)
warehouse-master.component,modal-yes-no.component,onShowModalDelete(index: number)
warehouse-master.component,job-progress.component,html
modal-sales-orders.component,abstract-modal.component,extends
modal-sales-orders.component,sales-order-table.component,@ViewChild('table') table: SalesOrderTableComponent;)
modal-sales-orders.component,sales-order-table.component,html
modal-sales-orders.component,sales-order.component,html
admin-settings.component,admin-settings-integrations.component,@ViewChild('integrations') integrations: AdminSettingsIntegrationsComponent;)
admin-settings.component,admin-settings-integrations.component,html
admin-settings.component,modal-danger-yes-no.component,onReset()
admin-settings-integrations.component,admin-settings-erp-decision-manager.component,@ViewChild('erpDecisionManagerSettings') erpDecisionManagerSettings: AdminSettingsErpDecisionManagerComponent;)
admin-settings-integrations.component,admin-settings-erp-decision-manager.component,html
admin-settings-integrations.component,admin-settings-google-sheets.component,@ViewChild('googleSheetsSettings') googleSheetsSettings: AdminSettingsGoogleSheetsComponent;)
admin-settings-integrations.component,admin-settings-google-sheets.component,html
admin-settings-integrations.component,admin-settings-pg-portal.component,@ViewChild('pgSettings') pgSettings: AdminSettingsPgPortalComponent;)
admin-settings-integrations.component,admin-settings-pg-portal.component,html
admin-settings-integrations.component,admin-settings-sharepoint.component,@ViewChild('sharepointSettings') sharepointSettings: AdminSettingsSharepointComponent;)
admin-settings-integrations.component,admin-settings-sharepoint.component,html
admin-settings-integrations.component,admin-settings.component,html
admin-settings-integrations.component,admin-settings.component,html
admin-settings-integrations.component,admin-settings.component,html
admin-settings-integrations.component,admin-settings.component,html
transactions-flow.component,collapse-wide-table.component,@ViewChild('wideTable') wideTable: CollapseWideTableComponent;)
transactions-flow.component,collapse-wide-table.component,html
transactions-flow.component,tags-input.component,@ViewChild('tagsComponent')
transactions-flow.component,tags-input.component,html
transactions-flow.component,inventory-planning-modal-heatmap.component,onShowModalCalendar(index: number)
transactions-flow.component,transactions-flow-modal-details.component,onClickCell(event: ICollapseWideTableClick)
transactions-flow.component,modal-procurement-by-price.component,onShowModalSpendByItem(index: number)
transactions-flow.component,modal-statistical-analysis.component,onShowModalStatistics(index: number)
