component_id,endpoint_id,http_call,params
scenario-analysis-modal-impacted-inventory.component,/scenario-analysis-impacted-inventory,this.http.get(`${ /scenario-analysis-impacted-inventory }/${ scenarioID }`; options);,getImpactedInventories(scenarioID: number; search: ISearchArgs)
scenario-analysis-modal-impacted-inventory.component,/scenario-analysis-impact,this.http.get(`${ /scenario-analysis-impact }`; options);,getImpact(type: string; parents: Array<number>; children: Array<number>; search: ISearchArgs)
scenario-analysis-modal-impacted-inventory.component,/scenario-analysis-impacted-inventory,this.http.get(`${ /scenario-analysis-impacted-inventory }/${ scenarioID }/${ inventoryID }`; this.httpOptions);,getImpactedInventoryDetails(scenarioID: number; inventoryID: number; search: ISearchArgs)
scenario-analysis-modal-impacted-procurement.component,/scenario-analysis,this.http.get(/scenario-analysis; options);,get(search: ISearchArgs)
scenario-analysis-modal-impacted-procurement.component,/scenario-analysis-impacted-procurement,this.http.get(`${ /scenario-analysis-impacted-procurement }/${ scenarioID }`; options);,getImpactedProcurement(scenarioID: number; search: ISearchArgs)
scenario-analysis-modal-impacted-procurement.component,/scenario-analysis-impact,this.http.get(`${ /scenario-analysis-impact }`; options);,getImpact(type: string; parents: Array<number>; children: Array<number>; search: ISearchArgs)
scenario-analysis-modal-impacted-procurement.component,/scenario-analysis-impacted-procurement,this.http.get(`${ /scenario-analysis-impacted-procurement }/${ scenarioID }/${ poID }`; this.httpOptions);,getImpactedProcurementDetails(scenarioID: number; poID: number; search: ISearchArgs)
scenario-analysis-modal-compare-heatmap.component,/dashboard-heatmap,this.http.get<IDashboardHeatmapGETResponse>(/dashboard-heatmap; options);,get(type: string; by: string; search: ISearchArgs; scenario?: number)
scenario-analysis-modal-compare-heatmap.component,/scenario-analysis,this.http.get(/scenario-analysis; options);,get(search: ISearchArgs)
scenario-analysis-modal-compare-heatmap.component,/scenario-analysis-impacted-items,this.http.get(`${ /scenario-analysis-impacted-items }/${ id }`; options);,getImpactedItems(id: number; search: ISearchArgs)
scenario-analysis-modal-compare-heatmap.component,/scenario-analysis-impact,this.http.get(`${ /scenario-analysis-impact }`; options);,getImpact(type: string; parents: Array<number>; children: Array<number>; search: ISearchArgs)
warehouse-master.component,/supplier-master,this.http.delete(`${ /supplier-master }/${ id }`; this.httpOptions);,deleteSupplierMaster(id: number)
warehouse-master.component,/job,this.http.post(`${ /job }/${ job }`; postData; this.httpOptions);,post(job: string; data?: FormData)
warehouse-master.component,/templates,this.http.post(/templates; data; this.httpOptionsFile);,postTemplates(data: ITemplateType)
modal-sales-orders.component,/dashboard-analytics-sales-orders,this.http.get<IDashboardAnalyticsSalesOrders>(/dashboard-analytics-sales-orders; this.httpOptions);,getDashboardAnalyticsSalesOrders(search?: ISearchArgs)
admin-settings.component,/system-settings,this.http.get<ISystemSettings>(/system-settings; this.httpOptions);,getSystemSettings()
admin-settings.component,/reset-database,this.http.post(/reset-database; {}; this.httpOptions);,postResetDatabase()
admin-settings.component,/system-settings,this.http.post(/system-settings; settings; this.httpOptions);,postSystemSettings(settings: ISystemSettings)
transactions-flow.component,/inventory,this.http.get<IInventoryGETResponse>(/inventory; options);,get(search: ISearchArgs)
transactions-flow.component,/transactions-flow,this.http.get<ITransactionsFlowGETResponse>(/transactions-flow; options);,getTransactionsFlow(search: ISearchArgs; aggregation?: number)
transactions-flow-modal-details.component,/inventory,this.http.get<IInventoryGETResponse>(/inventory; options);,get(search: ISearchArgs)
transactions-flow-modal-details.component,/transactions-flow,this.http.get<ITransactionsFlowGETResponse>(/transactions-flow; options);,getTransactionsFlow(search: ISearchArgs; aggregation?: number)
transactions-flow-modal-details.component,/transactions-flow,this.http.get<ITransactionsFlowDetailsGETResponse>(`${ /transactions-flow }/${ id }`; options);,getTransactionsFlowDetails(id: number; search: ISearchArgs; date: string; type: string; aggregation: number)
purchase-order.component,url,this.http.delete(url; this.httpOptions);,delete(poNumber: number)
purchase-order.component,/job,this.http.post(`${ /job }/${ job }`; postData; this.httpOptions);,post(job: string; data?: FormData)
purchase-order.component,/templates,this.http.post(/templates; data; this.httpOptionsFile);,postTemplates(data: ITemplateType)
purchase-order-modal-new.component,/purchase-order,this.http.get<IPurchaseOrderGETResponse>(/purchase-order; options);,get(search: ISearchArgs)
purchase-order-modal-new.component,/purchase-order,this.http.get<IPurchaseOrderDetailsGETResponse>(`${ /purchase-order }/${ poNumber }`; options);,getDetails(poNumber: number; search?: ISearchArgs)
purchase-order-modal-new.component,/sub-item-master,this.http.get<ISubItemMasterGETResponse>(/sub-item-master; options);,getSubItemMaster(search: ISearchArgs)
purchase-order-modal-new.component,/item-master,this.http.get<IItemMasterGETResponse>(/item-master; options);,getItemMaster(search: ISearchArgs)
purchase-order-modal-new.component,/purchase-order,this.http.put(/purchase-order + '/' + data.id.toString(); data; this.httpOptions);,put(data: IPurchaseOrderSave)
purchase-order-modal-new.component,/purchase-order,this.http.post(/purchase-order; data; this.httpOptions);,post(data: IPurchaseOrderSave)
purchase-order-modal-new.component,url,this.http.delete(url; this.httpOptions);,delete(poNumber: number)
purchase-order-modal-new.component,/purchase-order-details,this.http.delete(`${ /purchase-order-details }/${ id }`; this.httpOptions);,deleteDetail(id: number)
purchase-order-table.component,/purchase-order,this.http.get<IPurchaseOrderGETResponse>(/purchase-order; options);,get(search: ISearchArgs)
purchase-order-table.component,/purchase-order,this.http.get<IPurchaseOrderDetailsGETResponse>(`${ /purchase-order }/${ poNumber }`; options);,getDetails(poNumber: number; search?: ISearchArgs)
purchase-order-modal-details.component,/purchase-order,this.http.get<IPurchaseOrderGETResponse>(/purchase-order; options);,get(search: ISearchArgs)
purchase-order-modal-details.component,/purchase-order,this.http.get<IPurchaseOrderDetailsGETResponse>(`${ /purchase-order }/${ poNumber }`; options);,getDetails(poNumber: number; search?: ISearchArgs)
purchase-order-modal-containing-item.component,/scenario-analysis,this.http.get(/scenario-analysis; options);,get(search: ISearchArgs)
purchase-order-modal-containing-item.component,/scenario-analysis-purchase-order-item,this.http.get<IPurchaseOrderItemGETResponse>(`${ /scenario-analysis-purchase-order-item }/${ scenarioID }/${ itemID }`; options);,getPurchaseOrderItem(scenarioID: number; itemID: number; search: ISearchArgs)
purchase-order-modal-containing-item.component,/purchase-order,this.http.get<IPurchaseOrderGETResponse>(/purchase-order; options);,get(search: ISearchArgs)
purchase-order-modal-containing-item.component,/purchase-order-item,this.http.get<IPurchaseOrderItemGETResponse>(`${ /purchase-order-item }/${ id }`; options);,getItem(id: number; search: ISearchArgs)
dashboard-sales-at-risk-analytics.component,/sales-at-risk/histogram,this.http.get(/sales-at-risk/histogram; options);,getSalesAtRisk(bucket: EAggregationBucket; search: ISearchArgs; scenario?: number)
admin-users.component,/user,this.http.get<IUserListGETResponse>(/user; options);,getUserList(search: ISearchArgs)
admin-users.component,/user,this.http.delete(/user + `/${id}`; this.httpOptions);,deleteUser(id: number)
dashboard-heatmap.component,/dashboard-heatmap,this.http.get<IDashboardHeatmapGETResponse>(/dashboard-heatmap; options);,get(type: string; by: string; search: ISearchArgs; scenario?: number)
dashboard-heatmap.component,/views,this.http.get<IViewsGETResponse>(/views; options);,get(search: ISearchArgs)
dashboard-heatmap-items-modal.component,/dashboard-heatmap,this.http.get<IDashboardHeatmapGETResponse>(/dashboard-heatmap; options);,get(type: string; by: string; search: ISearchArgs; scenario?: number)
dashboard-heatmap-items-modal.component,/dashboard-heatmap,this.http.get<IDashboardHeatmapItemsGETResponse>(/dashboard-heatmapItems; options);,getItems(type: string; date: string; search: ISearchArgs; scenario?: number)
external-item-master.component,/external-item-master,this.http.get<IExternalItemMasterGETResponse>(/external-item-master; options);,get(search: ISearchArgs)
external-item-master.component,/external-item-master,this.http.get<IExternalItemMasterDetailsGETResponse>(`${ /external-item-master }/${ id }`; options);,getDetails(id: number; search?: ISearchArgs)
external-item-master.component,/job,this.http.post(`${ /job }/${ job }`; postData; this.httpOptions);,post(job: string; data?: FormData)
external-item-master.component,/templates,this.http.post(/templates; data; this.httpOptionsFile);,postTemplates(data: ITemplateType)
external-item-master.component,/external-item-master,this.http.delete(/external-item-master; options);,delete(externalItemID: number; itemID: number)
external-item-master-modal-new.component,/external-item-master,this.http.get<IExternalItemMasterGETResponse>(/external-item-master; options);,get(search: ISearchArgs)
external-item-master-modal-new.component,/external-item-master,this.http.get<IExternalItemMasterDetailsGETResponse>(`${ /external-item-master }/${ id }`; options);,getDetails(id: number; search?: ISearchArgs)
external-item-master-modal-new.component,/external-item-master,this.http.put(`${ /external-item-master }/${ id }`; data; this.httpOptions);,put(id: number; data: IExternalItemMasterPUTRequest)
external-item-master-modal-new.component,/external-item-master,this.http.delete(/external-item-master; options);,delete(externalItemID: number; itemID: number)
unit-master.component,/unit-master,this.http.get<IUnitMasterGETResponse>(/unit-master; options);,getUnitMaster(search: ISearchArgs)
unit-master.component,url,this.http.delete(url; this.httpOptions);,deleteUnitMaster(id: number)
unit-master.component,/job,this.http.post(`${ /job }/${ job }`; postData; this.httpOptions);,post(job: string; data?: FormData)
unit-master.component,/templates,this.http.post(/templates; data; this.httpOptionsFile);,postTemplates(data: ITemplateType)
home-graphs.component,/dashboard-total,this.http.get<IDashboardTotal>(/dashboard-total; this.httpOptions);,getTotal()
dashboard-manufacturing-by-item-and-status.component,/dashboard-manufacturing-by-item-and-status,this.http.get(/dashboard-manufacturing-by-item-and-status; options);,getDashboardManufacturingByItemAndStatus(type: string)
dashboard-spend-analysis-procurement-by-item.component,/dashboard-spend-by-item,this.http.get<IDashboardSpendByItemGETResponse>(/dashboard-spend-by-item; options);,getDashboardSpendByItem(search: ISearchArgs; type: string; itemID?: number)
dashboard-spend-analysis-procurement-by-supplier.component,/dashboard-spend-by-supplier,this.http.get<IDashboardSpendBySupplierGETResponse>(/dashboard-spend-by-supplier; options);,getDashboardSpendBySupplier(search: ISearchArgs; type: string; supplierID?: number)
dashboard-spend-analysis-procurement-by-item-modal.component,/dashboard-spend-by-item,this.http.get<IDashboardSpendByItemGETResponse>(/dashboard-spend-by-item; options);,getDashboardSpendByItem(search: ISearchArgs; type: string; itemID?: number)
dashboard-spend-analysis-procurement-trend-by-item-and-price-modal.component,/dashboard-procurement-trend-by-item-and-price,this.http.get<IDashboardSpendAnalysisProcurementByItemAndPrice>(`${ /dashboard-procurement-trend-by-item-and-price }/${ itemID }`; options);,trendByItemAndPrice(search: ISearchArgs; itemID: number)
modal-statistical-analysis.component,/statistical-analysis,this.http.get<IStatisticalAnalysisGETResponse>(`${ /statistical-analysis }/overview/${ id }`; options);,getOverview(id: number; bucket: string; start?: string; end?: string; search?: ISearchArgs)
modal-average-lead-time.component,/statistical-analysis,this.http.get<IStatisticalAnalysisAverageLeadTimeGETResponse>(`${ /statistical-analysis }/average-lead-time`; options);,getAverageLeadTime(search: ISearchArgs; bucket: string; start: string; end: string)
modal-total-suppliers.component,/statistical-analysis,this.http.get<IStatisticalAnalysisSupplyBySupplierGETResponse>(`${ /statistical-analysis }/supply-by-supplier`; options);,getSupplyBySupplier(search: ISearchArgs; type: string; bucket: string)
supply-statistical-analysis.component,/help,this.http.post(/help; data; this.httpOptions);,post(data: IHelpPOSTRequest)
demand-statistical-analysis.component,/help,this.http.post(/help; data; this.httpOptions);,post(data: IHelpPOSTRequest)
